company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions,number_of_layoff_events,is_repeat_layoff_company,log_funds_raised,funding_bracket,severity_tier,is_statistical_outlier,outlier_direction
Latch,New York City,Security,130,0.28,2022-05-20,Post-IPO,United States,342,4,True,5.83773044716594,Medium ($50-500M),Severe (25-50%),False,Typical
Lattice,SF Bay Area,HR,0,0.15,2023-01-12,Series F,United States,328,3,True,5.796057750765372,Medium ($50-500M),Moderate (10-25%),False,Typical
Lattice,SF Bay Area,HR,13,,2022-10-27,Series F,United States,328,3,True,5.796057750765372,Medium ($50-500M),,False,Typical
Lattice,SF Bay Area,HR,16,0.1,2020-05-15,Series C,United States,49,3,True,3.912023005428146,Small (<$50M),Mild (<=10%),False,Typical
Lawgeex,Tel Aviv,Legal,30,0.33,2022-09-06,Series C,Israel,41,1,False,3.737669618283368,Small (<$50M),Severe (25-50%),False,Typical
Laybuy,Auckland,Finance,45,,2022-07-28,Post-IPO,New Zealand,130,1,False,4.875197323201151,Medium ($50-500M),,False,Typical
Le Tote,SF Bay Area,Retail,0,0.5,2020-04-01,Series C,United States,62,1,False,4.143134726391533,Medium ($50-500M),Severe (25-50%),True,Unusually High for Funding Level
LEAD,Mumbai,Education,60,,2023-01-10,Series E,India,190,2,True,5.25227342804663,Medium ($50-500M),,False,Typical
LEAD,Mumbai,Education,80,0.04,2022-08-04,Series E,India,166,2,True,5.117993812416755,Medium ($50-500M),Mild (<=10%),False,Typical
LeafLink,New York City,Other,80,0.31,2022-12-15,Series C,United States,379,1,False,5.940171252720432,Medium ($50-500M),Severe (25-50%),False,Typical
Leafly,Seattle,Retail,56,0.21,2022-10-18,Post-IPO,United States,71,2,True,4.276666119016055,Medium ($50-500M),Moderate (10-25%),False,Typical
Leafly,Seattle,Retail,91,0.5,2020-03-23,Acquired,United States,2,2,True,1.0986122886681098,Small (<$50M),Severe (25-50%),False,Typical
LearnUpon,Dublin,Education,27,0.09,2023-02-07,Private Equity,Ireland,56,1,False,4.04305126783455,Medium ($50-500M),Mild (<=10%),False,Typical
Legible,Vancouver,Media,23,0.38,2022-04-04,Post-IPO,Canada,3,1,False,1.3862943611198906,Small (<$50M),Severe (25-50%),False,Typical
Lemon,Buenos Aires,Crypto,100,0.38,2022-11-24,Series A,Argentina,17,1,False,2.8903717578961645,Small (<$50M),Severe (25-50%),False,Typical
Lemonade,New York City,Finance,52,,2022-04-20,Post-IPO,United States,481,1,False,6.1779441140506,Medium ($50-500M),,False,Typical
Lendi,Sydney,Real Estate,100,,2023-03-03,Unknown,Australia,59,1,False,4.0943445622221,Medium ($50-500M),,False,Typical
Lending Club,SF Bay Area,Finance,225,0.14,2023-01-12,Post-IPO,United States,392,2,True,5.973809611869261,Medium ($50-500M),Moderate (10-25%),False,Typical
Lending Club,SF Bay Area,Finance,460,0.3,2020-04-21,Post-IPO,United States,392,2,True,5.973809611869261,Medium ($50-500M),Severe (25-50%),False,Typical
Lendingkart,Ahmedabad,Finance,500,0.5,2020-05-15,Unknown,India,200,1,False,5.303304908059076,Medium ($50-500M),Severe (25-50%),True,Unusually High for Funding Level
LendingTree,Charlotte,Finance,200,,2022-11-03,Post-IPO,United States,0,1,False,0.0,Small (<$50M),,False,Typical
Lendis,Berlin,Other,0,0.5,2022-12-21,Series A,Germany,90,2,True,4.51085950651685,Medium ($50-500M),Severe (25-50%),True,Unusually High for Funding Level
Lendis,Berlin,Other,18,0.15,2022-07-04,Series A,Germany,90,2,True,4.51085950651685,Medium ($50-500M),Moderate (10-25%),False,Typical
Lev,New York City,Real Estate,30,0.3,2022-12-07,Series B,United States,114,1,False,4.74493212836325,Medium ($50-500M),Severe (25-50%),False,Typical
Lever,SF Bay Area,Recruiting,86,0.4,2020-04-08,Series C,United States,72,1,False,4.290459441148391,Medium ($50-500M),Severe (25-50%),False,Typical
Lido,Mumbai,Education,150,,2022-02-21,Series A,India,24,1,False,3.218875824868201,Small (<$50M),,False,Typical
Lido Learning,Mumbai,Education,0,1.0,2022-09-09,Series C,India,20,1,False,3.044522437723423,Small (<$50M),Critical (>50%),False,Typical
Life360,SF Bay Area,Consumer,0,0.14,2023-01-12,Post-IPO,United States,158,1,False,5.068904202220232,Medium ($50-500M),Moderate (10-25%),False,Typical
Liftoff,SF Bay Area,Marketing,130,0.15,2022-11-09,Acquired,United States,6,1,False,1.9459101490553128,Small (<$50M),Moderate (10-25%),False,Typical
Lighter Capital,Seattle,Finance,18,0.22,2020-04-24,Series B,United States,15,2,True,2.772588722239781,Small (<$50M),Moderate (10-25%),False,Typical
Lighter Capital,Seattle,Finance,22,0.49,2020-07-20,Series B,United States,15,2,True,2.772588722239781,Small (<$50M),Severe (25-50%),False,Typical
Lighthouse Labs,Toronto,Education,14,0.07,2020-04-09,Unknown,Canada,0,1,False,0.0,Small (<$50M),Mild (<=10%),False,Typical
Lightico,Tel Aviv,Finance,20,,2022-03-31,Series B,Israel,42,2,True,3.7612001156935615,Small (<$50M),,False,Typical
Lightico,Tel Aviv,Finance,20,0.25,2023-02-05,Series B,Israel,42,2,True,3.7612001156935615,Small (<$50M),Moderate (10-25%),False,Typical
Lightricks,Jerusalem,Consumer,80,0.12,2022-07-04,Series D,Israel,335,1,False,5.817111159963204,Medium ($50-500M),Moderate (10-25%),False,Typical
Lightspeed Commerce,Montreal,Retail,300,0.1,2023-01-17,Post-IPO,Canada,1200,1,False,7.090909822079984,Large ($500M-2B),Mild (<=10%),False,Typical
Lime,SF Bay Area,Transportation,80,0.13,2020-04-29,Series D,United States,765,1,False,6.641182169740591,Large ($500M-2B),Moderate (10-25%),False,Typical
Limeade,Seattle,HR,0,0.15,2023-01-11,Series C,United States,33,1,False,3.5263605246161616,Small (<$50M),Moderate (10-25%),False,Typical
Limelight,New York City,Recruiting,13,1.0,2021-02-04,Unknown,United States,0,1,False,0.0,Small (<$50M),Critical (>50%),False,Typical
LinkedIn,SF Bay Area,Recruiting,960,0.06,2020-07-21,Acquired,United States,154,1,False,5.043425116919247,Medium ($50-500M),Mild (<=10%),False,Typical
Linkfire,Copenhagen,Marketing,35,0.35,2022-10-11,Seed,Denmark,2,1,False,1.0986122886681098,Small (<$50M),Severe (25-50%),False,Typical
Linktree,Melbourne,Consumer,50,0.17,2022-08-09,Unknown,Australia,165,1,False,5.111987788356544,Medium ($50-500M),Moderate (10-25%),False,Typical
Lithic,New York City,Finance,27,0.18,2022-12-07,Series C,United States,115,1,False,4.7535901911063645,Medium ($50-500M),Moderate (10-25%),False,Typical
Liv Up,Sao Paulo,Food,100,0.15,2022-02-16,Series D,Brazil,118,1,False,4.77912349311153,Medium ($50-500M),Moderate (10-25%),False,Typical
LivePerson,New York City,Support,30,,2020-11-01,Post-IPO,United States,42,2,True,3.7612001156935615,Small (<$50M),,False,Typical
LivePerson,New York City,Support,193,0.11,2022-09-15,Post-IPO,United States,42,2,True,3.7612001156935615,Small (<$50M),Moderate (10-25%),False,Typical
LiveRamp,SF Bay Area,Marketing,0,0.1,2022-11-03,Post-IPO,United States,16,1,False,2.833213344056216,Small (<$50M),Mild (<=10%),False,Typical
LiveTiles,New York City,Other,50,,2020-05-03,Post-IPO,United States,46,1,False,3.8501476017100575,Small (<$50M),,False,Typical
LiveVox,SF Bay Area,Support,0,0.16,2023-01-17,Post-IPO,United States,12,1,False,2.5649493574615367,Small (<$50M),Moderate (10-25%),False,Typical
Livspace,Bengaluru,Retail,450,0.15,2020-05-19,Series D,India,157,1,False,5.062595033026967,Medium ($50-500M),Moderate (10-25%),False,Typical
Locomation,Pittsburgh,Transportation,0,1.0,2023-02-22,Seed,United States,57,1,False,4.060443010546419,Medium ($50-500M),Critical (>50%),True,Unusually High for Funding Level
Loft,Sao Paulo,Real Estate,47,,2020-03-27,Series C,Brazil,263,6,True,5.575949103146316,Medium ($50-500M),,False,Typical
Loft,Sao Paulo,Real Estate,47,0.1,2020-04-17,Series C,Brazil,263,6,True,5.575949103146316,Medium ($50-500M),Mild (<=10%),False,Typical
Loft,Sao Paulo,Real Estate,159,,2022-04-19,Unknown,Brazil,788,6,True,6.670766320845874,Large ($500M-2B),,False,Typical
Loft,Sao Paulo,Real Estate,312,0.12,2022-12-07,Unknown,Brazil,788,6,True,6.670766320845874,Large ($500M-2B),Moderate (10-25%),False,Typical
Loft,Sao Paulo,Real Estate,340,0.15,2023-03-03,Unknown,Brazil,788,6,True,6.670766320845874,Large ($500M-2B),Moderate (10-25%),False,Typical
Loft,Sao Paulo,Real Estate,384,0.12,2022-07-05,Unknown,Brazil,788,6,True,6.670766320845874,Large ($500M-2B),Moderate (10-25%),False,Typical
Loftium,Seattle,Real Estate,32,0.6,2020-05-29,Series A,United States,17,1,False,2.8903717578961645,Small (<$50M),Critical (>50%),False,Typical
Loftsmart,New York City,Real Estate,25,0.75,2020-03-30,Series A,United States,18,1,False,2.9444389791664403,Small (<$50M),Critical (>50%),False,Typical
Loggi,Sao Paulo,Logistics,300,0.07,2023-02-06,Series F,Brazil,507,2,True,6.230481447578482,Large ($500M-2B),Mild (<=10%),False,Typical
Loggi,Sao Paulo,Logistics,500,0.15,2022-08-08,Series F,Brazil,507,2,True,6.230481447578482,Large ($500M-2B),Moderate (10-25%),False,Typical
Loja Integrada,Sao Paulo,Retail,25,0.1,2022-08-25,Acquired,Brazil,0,1,False,0.0,Small (<$50M),Mild (<=10%),False,Typical
Lokalise,Dover,Other,76,0.23,2022-11-16,Series B,United States,56,1,False,4.04305126783455,Medium ($50-500M),Moderate (10-25%),False,Typical
Lola,Boston,Travel,34,,2020-03-19,Series C,United States,81,1,False,4.406719247264253,Medium ($50-500M),,False,Typical
Loom,SF Bay Area,Product,23,0.11,2022-10-20,Series C,United States,203,2,True,5.318119993844216,Medium ($50-500M),Moderate (10-25%),False,Typical
Loom,SF Bay Area,Product,34,0.14,2022-06-01,Series C,United States,203,2,True,5.318119993844216,Medium ($50-500M),Moderate (10-25%),False,Typical
Loop,Washington D.C.,Finance,15,0.2,2022-08-24,Series A,United States,24,1,False,3.218875824868201,Small (<$50M),Moderate (10-25%),False,Typical
Loopio,Toronto,Sales,11,0.08,2020-05-04,Series A,Canada,11,1,False,2.4849066497880004,Small (<$50M),Mild (<=10%),False,Typical
LoopMe,London,Marketing,8,0.04,2020-04-09,Unknown,United Kingdom,32,1,False,3.49650756146648,Small (<$50M),Mild (<=10%),False,Typical
Lora DiCarlo,Bend,Consumer,0,1.0,2022-12-02,Unknown,United States,9,1,False,2.302585092994046,Small (<$50M),Critical (>50%),False,Typical
Lucid Diagnostics,New York City,Healthcare,0,0.2,2023-01-18,Post-IPO,United States,0,1,False,0.0,Small (<$50M),Moderate (10-25%),False,Typical
Lucira Health,SF Bay Area,Healthcare,26,,2023-02-24,Post-IPO,United States,132,1,False,4.890349128221754,Medium ($50-500M),,False,Typical
Lumina Networks,SF Bay Area,Infrastructure,0,1.0,2020-08-18,Series A,United States,10,1,False,2.3978952727983707,Small (<$50M),Critical (>50%),False,Typical
Lummo,Jakarta,Marketing,150,,2022-06-07,Series C,Indonesia,149,1,False,5.010635294096256,Medium ($50-500M),,False,Typical
Lunchbox,New York City,Food,60,0.33,2022-07-21,Series B,United States,72,1,False,4.290459441148391,Medium ($50-500M),Severe (25-50%),False,Typical
Luno,London,Crypto,330,0.35,2023-01-25,Acquired,United Kingdom,13,1,False,2.6390573296152584,Small (<$50M),Severe (25-50%),False,Typical
Lusha,New York City,Marketing,30,0.1,2022-07-18,Series B,United States,245,1,False,5.5053315359323625,Medium ($50-500M),Mild (<=10%),False,Typical
Luxury Presence,Los Angeles,Real Estate,44,,2023-01-17,Series B,United States,31,1,False,3.4657359027997265,Small (<$50M),,False,Typical
Lyft,SF Bay Area,Transportation,60,0.02,2022-07-20,Post-IPO,United States,4900,3,True,8.497194544909547,Mega (>$2B),Mild (<=10%),False,Typical
Lyft,SF Bay Area,Transportation,700,0.13,2022-11-03,Post-IPO,United States,4900,3,True,8.497194544909547,Mega (>$2B),Moderate (10-25%),False,Typical
Lyft,SF Bay Area,Transportation,982,0.17,2020-04-29,Post-IPO,United States,4900,3,True,8.497194544909547,Mega (>$2B),Moderate (10-25%),False,Typical
Lyric,SF Bay Area,Real Estate,100,,2020-03-25,Series B,United States,179,1,False,5.19295685089021,Medium ($50-500M),,False,Typical
Lyst,London,Retail,50,0.25,2022-11-29,Unknown,United Kingdom,144,1,False,4.976733742420574,Medium ($50-500M),Moderate (10-25%),False,Typical
M1,Chicago,Finance,38,,2022-07-19,Series E,United States,323,1,False,5.780743515792329,Medium ($50-500M),,False,Typical
Made.com,London,Retail,0,0.35,2022-09-22,Series D,United Kingdom,136,1,False,4.919980925828125,Medium ($50-500M),Severe (25-50%),False,Typical
Madefire,SF Bay Area,Media,0,1.0,2021-04-29,Series B,United States,16,1,False,2.833213344056216,Small (<$50M),Critical (>50%),False,Typical
MadeiraMadeira,Curitiba,Retail,60,0.03,2022-08-09,Series E,Brazil,338,1,False,5.82600010738045,Medium ($50-500M),Mild (<=10%),False,Typical
Magic Eden,SF Bay Area,Crypto,22,,2023-02-13,Series B,United States,170,1,False,5.14166355650266,Medium ($50-500M),,False,Typical
Magic Leap,Miami,Consumer,1000,0.5,2020-04-22,Series E,United States,2600,1,False,7.8636512654486515,Mega (>$2B),Severe (25-50%),True,Unusually High for Funding Level
Magicbricks,Noida,Real Estate,250,,2020-05-17,Unknown,India,300,1,False,5.707110264748875,Medium ($50-500M),,False,Typical
Magnite,Los Angeles,Marketing,0,0.06,2023-01-19,Post-IPO,United States,400,1,False,5.993961427306569,Medium ($50-500M),Mild (<=10%),False,Typical
Mainstreet,SF Bay Area,Finance,45,0.3,2022-05-04,Series A,United States,64,1,False,4.174387269895637,Medium ($50-500M),Severe (25-50%),False,Typical
MakeMyTrip,Gurugram,Travel,350,0.1,2020-06-01,Post-IPO,India,548,2,True,6.3080984415095305,Large ($500M-2B),Mild (<=10%),False,Typical
MakeMyTrip,New Delhi,Travel,350,0.1,2020-08-31,Post-IPO,India,548,2,True,6.3080984415095305,Large ($500M-2B),Mild (<=10%),False,Typical
MakerBot,New York City,Consumer,12,,2020-06-02,Acquired,United States,10,1,False,2.3978952727983707,Small (<$50M),,False,Typical
Malwarebytes,SF Bay Area,Security,125,0.14,2022-08-17,Series B,United States,80,1,False,4.394449154672439,Medium ($50-500M),Moderate (10-25%),False,Typical
Mapbox,Washington D.C.,Data,64,,2023-01-12,Unknown,United States,334,1,False,5.814130531825066,Medium ($50-500M),,False,Typical
MariaDB,Helsinki,Data,0,0.08,2023-02-01,Post-IPO,Finland,245,1,False,5.5053315359323625,Medium ($50-500M),Mild (<=10%),False,Typical
Marketforce,Nairobi,Retail,54,0.09,2022-08-11,Series A,Kenya,42,1,False,3.7612001156935615,Small (<$50M),Mild (<=10%),False,Typical
Masse,New York City,Retail,0,1.0,2020-05-15,Seed,United States,3,1,False,1.3862943611198906,Small (<$50M),Critical (>50%),False,Typical
MasterClass,SF Bay Area,Education,79,,2023-03-02,Series E,United States,461,2,True,6.135564891081739,Medium ($50-500M),,False,Typical
MasterClass,SF Bay Area,Education,120,0.2,2022-06-22,Series E,United States,461,2,True,6.135564891081739,Medium ($50-500M),Moderate (10-25%),False,Typical
Match Group,New York City,Consumer,0,0.08,2023-02-01,Post-IPO,United States,0,1,False,0.0,Small (<$50M),Mild (<=10%),False,Typical
Matrixport,Singapore,Crypto,29,0.1,2023-01-27,Series C,Singapore,100,1,False,4.61512051684126,Medium ($50-500M),Mild (<=10%),False,Typical
Matterport,SF Bay Area,Data,90,0.34,2020-04-09,Series D,United States,114,1,False,4.74493212836325,Medium ($50-500M),Severe (25-50%),False,Typical
Maven,Seattle,Media,31,0.09,2020-03-30,Post-IPO,United States,77,1,False,4.356708826689592,Medium ($50-500M),Mild (<=10%),False,Typical
MaxMilhas,Belo Horizonte,Travel,167,0.42,2020-04-03,Unknown,Brazil,0,1,False,0.0,Small (<$50M),Severe (25-50%),False,Typical
McMakler,Berlin,Real Estate,90,,2022-07-26,Unknown,Germany,214,2,True,5.3706380281276624,Medium ($50-500M),,False,Typical
McMakler,Berlin,Real Estate,100,,2022-10-24,Unknown,Germany,214,2,True,5.3706380281276624,Medium ($50-500M),,False,Typical
Me Poupe,Sao Paulo,Finance,60,0.5,2023-01-28,Unknown,Brazil,0,1,False,0.0,Small (<$50M),Severe (25-50%),False,Typical
Medallia,SF Bay Area,Support,59,,2023-02-24,Acquired,United States,325,1,False,5.786897381366708,Medium ($50-500M),,False,Typical
MediaMath,New York City,Marketing,53,0.08,2020-04-07,Private Equity,United States,607,1,False,6.410174881966167,Large ($500M-2B),Mild (<=10%),False,Typical
MediBuddy,Bengaluru,Healthcare,200,,2023-01-20,Acquired,India,192,1,False,5.262690188904886,Medium ($50-500M),,False,Typical
Medium,SF Bay Area,Media,0,0.25,2022-09-06,Unknown,United States,163,1,False,5.099866427824199,Medium ($50-500M),Moderate (10-25%),False,Typical
Medly,New York City,Healthcare,0,0.16,2022-08-04,Series C,United States,100,3,True,4.61512051684126,Medium ($50-500M),Moderate (10-25%),False,Typical
Medly,New York City,Healthcare,0,0.5,2022-09-07,Series C,United States,100,3,True,4.61512051684126,Medium ($50-500M),Severe (25-50%),True,Unusually High for Funding Level
Medly,New York City,Healthcare,0,1.0,2023-02-08,Series C,United States,100,3,True,4.61512051684126,Medium ($50-500M),Critical (>50%),True,Unusually High for Funding Level
Meero,Paris,Other,350,0.5,2022-05-09,Series C,France,293,1,False,5.683579767338681,Medium ($50-500M),Severe (25-50%),True,Unusually High for Funding Level
Meesho,Bengaluru,Retail,150,,2022-04-11,Series F,India,1100,3,True,7.00397413672268,Large ($500M-2B),,False,Typical
Meesho,Bengaluru,Retail,200,0.28,2020-04-08,Series D,India,215,3,True,5.375278407684165,Medium ($50-500M),Severe (25-50%),False,Typical
Meesho,Bengaluru,Retail,300,,2022-08-29,Series F,India,1100,3,True,7.00397413672268,Large ($500M-2B),,False,Typical
Mejuri,Toronto,Retail,36,0.15,2020-04-09,Series B,Canada,28,2,True,3.367295829986474,Small (<$50M),Moderate (10-25%),False,Typical
Mejuri,Toronto,Retail,50,0.1,2022-08-05,Series B,Canada,28,2,True,3.367295829986474,Small (<$50M),Mild (<=10%),False,Typical
Melio,New York City,Finance,60,,2022-08-09,Series D,United States,504,1,False,6.22455842927536,Large ($500M-2B),,False,Typical
Memmo,Stockholm,Consumer,0,0.4,2022-06-08,Unknown,Sweden,24,1,False,3.218875824868201,Small (<$50M),Severe (25-50%),False,Typical
Meow Wolf,Santa Fe,Media,201,,2020-04-10,Unknown,United States,185,1,False,5.225746673713202,Medium ($50-500M),,False,Typical
Merative,Ann Arbor,Healthcare,200,0.1,2023-02-23,Acquired,United States,0,1,False,0.0,Small (<$50M),Mild (<=10%),False,Typical
Mercos,Joinville,Sales,51,0.4,2020-05-13,Unknown,Brazil,2,1,False,1.0986122886681098,Small (<$50M),Severe (25-50%),False,Typical
MeridianLink,Los Angeles,Finance,0,0.09,2023-02-28,Post-IPO,United States,485,1,False,6.186208623900494,Medium ($50-500M),Mild (<=10%),False,Typical
MessageBird,Amsterdam,Other,0,0.31,2022-11-29,Series C,Netherlands,1100,1,False,7.00397413672268,Large ($500M-2B),Severe (25-50%),False,Typical
Messari,New York City,Crypto,0,0.15,2023-02-23,Series B,United States,61,1,False,4.127134385045092,Medium ($50-500M),Moderate (10-25%),False,Typical
Meta,SF Bay Area,Consumer,11000,0.13,2022-11-09,Post-IPO,United States,26000,1,False,10.165890277802454,Mega (>$2B),Moderate (10-25%),False,Typical
Metigy,Sydney,Marketing,75,1.0,2022-07-31,Series B,Australia,18,1,False,2.9444389791664403,Small (<$50M),Critical (>50%),False,Typical
Metromile,SF Bay Area,Finance,60,0.2,2022-07-28,Acquired,United States,510,2,True,6.236369590203704,Large ($500M-2B),Moderate (10-25%),False,Typical
Metromile,SF Bay Area,Finance,100,0.33,2020-04-06,Series E,United States,293,2,True,5.683579767338681,Medium ($50-500M),Severe (25-50%),False,Typical
MFine,Bengaluru,Healthcare,600,0.75,2022-05-21,Series C,India,97,1,False,4.584967478670572,Medium ($50-500M),Critical (>50%),True,Unusually High for Funding Level
Microsoft,Seattle,Other,10000,0.05,2023-01-18,Post-IPO,United States,1,1,False,0.6931471805599453,Small (<$50M),Mild (<=10%),False,Typical
Migo,SF Bay Area,Finance,0,0.25,2020-04-28,Series B,United States,37,1,False,3.6375861597263857,Small (<$50M),Moderate (10-25%),False,Typical
Milkrun,Sydney,Food,0,0.2,2023-02-15,Series A,Australia,86,1,False,4.465908118654584,Medium ($50-500M),Moderate (10-25%),False,Typical
MindBody,San Luis Obispo,Fitness,400,0.15,2022-10-26,Post-IPO,United States,114,2,True,4.74493212836325,Medium ($50-500M),Moderate (10-25%),False,Typical
MindBody,San Luis Obispo,Fitness,700,0.35,2020-04-02,Post-IPO,United States,114,2,True,4.74493212836325,Medium ($50-500M),Severe (25-50%),False,Typical
Mindstrong,SF Bay Area,Healthcare,127,,2023-02-02,Series C,United States,160,1,False,5.081404364984463,Medium ($50-500M),,False,Typical
Minted,SF Bay Area,Retail,147,0.37,2020-04-03,Series E,United States,297,1,False,5.697093486505405,Medium ($50-500M),Severe (25-50%),False,Typical
Minute Media,London,Media,50,0.1,2023-01-08,Series I,United Kingdom,160,1,False,5.081404364984463,Medium ($50-500M),Mild (<=10%),False,Typical
Miro,SF Bay Area,Other,119,0.07,2023-02-02,Series C,United States,476,1,False,6.1675164908883415,Medium ($50-500M),Mild (<=10%),False,Typical
Misfits Market,Philadelphia,Food,649,0.33,2023-02-09,Series C,United States,526,1,False,6.267200548541362,Large ($500M-2B),Severe (25-50%),False,Typical
Mixpanel,SF Bay Area,Data,65,0.19,2020-05-12,Series B,United States,77,1,False,4.356708826689592,Medium ($50-500M),Moderate (10-25%),False,Typical
Mobile Premier League,Bengaluru,Consumer,100,0.1,2022-05-30,Series E,India,375,1,False,5.929589143389895,Medium ($50-500M),Mild (<=10%),False,Typical
Mode Analytics,SF Bay Area,Data,17,,2020-05-13,Series C,United States,46,2,True,3.8501476017100575,Small (<$50M),,False,Typical
Mode Analytics,SF Bay Area,Data,25,,2022-09-12,Series D,United States,81,2,True,4.406719247264253,Medium ($50-500M),,False,Typical
Mode Global,London,Finance,0,1.0,2023-01-26,Post-IPO,United Kingdom,0,1,False,0.0,Small (<$50M),Critical (>50%),False,Typical
Modern Treasury,SF Bay Area,Finance,0,0.18,2022-12-16,Series C,United States,183,1,False,5.214935757608986,Medium ($50-500M),Moderate (10-25%),False,Typical
Moglix,Singapore,Retail,40,0.02,2023-01-05,Series F,Singapore,472,1,False,6.159095388491933,Medium ($50-500M),Mild (<=10%),False,Typical
Mogo,Vancouver,Finance,78,0.3,2020-03-27,Post-IPO,Canada,201,1,False,5.308267697401205,Medium ($50-500M),Severe (25-50%),False,Typical
Mojo Vision,SF Bay Area,Hardware,0,0.75,2023-01-06,Series B,United States,204,1,False,5.3230099791384085,Medium ($50-500M),Critical (>50%),True,Unusually High for Funding Level
Moladin,Jakarta,Transportation,360,0.11,2023-02-12,Series B,Indonesia,138,1,False,4.934473933130692,Medium ($50-500M),Moderate (10-25%),False,Typical
Momentive,SF Bay Area,Marketing,0,0.14,2023-02-15,Post-IPO,United States,1100,2,True,7.00397413672268,Large ($500M-2B),Moderate (10-25%),False,Typical
Momentive,SF Bay Area,Marketing,180,0.11,2022-10-10,Post-IPO,United States,1100,2,True,7.00397413672268,Large ($500M-2B),Moderate (10-25%),False,Typical
Monese,Lisbon,Finance,35,,2020-05-01,Unknown,Portugal,80,1,False,4.394449154672439,Medium ($50-500M),,False,Typical
Monzo,London,Finance,120,0.08,2020-06-03,Series F,United Kingdom,324,2,True,5.783825182329737,Medium ($50-500M),Mild (<=10%),False,Typical
Monzo,Las Vegas,Finance,165,,2020-04-09,Series F,United States,324,2,True,5.783825182329737,Medium ($50-500M),,False,Typical
Moovel,Portland,Transportation,28,0.37,2020-04-01,Unknown,United States,0,1,False,0.0,Small (<$50M),Severe (25-50%),False,Typical
Morning Brew,New York City,Media,0,0.14,2022-11-17,Acquired,United States,0,1,False,0.0,Small (<$50M),Moderate (10-25%),False,Typical
Moss,Berlin,Fin-Tech,70,0.15,2022-09-23,Series B,Germany,150,1,False,5.017279836814924,Medium ($50-500M),Moderate (10-25%),False,Typical
Motif Investing,SF Bay Area,Finance,0,1.0,2020-04-18,Series E,United States,126,1,False,4.844187086458591,Medium ($50-500M),Critical (>50%),True,Unusually High for Funding Level
Motive,SF Bay Area,Transportation,237,0.06,2022-12-07,Series F,United States,567,1,False,6.342121418721152,Large ($500M-2B),Mild (<=10%),False,Typical
Movidesk,Blumenau,Support,33,0.25,2020-04-20,Seed,Brazil,1,1,False,0.6931471805599453,Small (<$50M),Moderate (10-25%),False,Typical
Mozilla,SF Bay Area,Consumer,250,0.25,2020-08-11,Unknown,United States,2,1,False,1.0986122886681098,Small (<$50M),Moderate (10-25%),False,Typical
Mr. Yum,Melbourne,Food,0,0.17,2022-08-22,Series A,United States,73,1,False,4.30406509320417,Medium ($50-500M),Moderate (10-25%),False,Typical
Mudafy,Mexico City,Real Estate,0,0.7,2023-01-19,Series A,United States,13,1,False,2.6390573296152584,Small (<$50M),Critical (>50%),False,Typical
Mural,SF Bay Area,Product,90,0.1,2022-05-05,Series C,United States,192,1,False,5.262690188904886,Medium ($50-500M),Mild (<=10%),False,Typical
Mux,SF Bay Area,Infrastructure,40,0.2,2022-09-29,Series D,United States,173,1,False,5.159055299214529,Medium ($50-500M),Moderate (10-25%),False,Typical
MX,Lehi,Finance,200,,2022-10-11,Series C,United States,450,1,False,6.111467339502679,Medium ($50-500M),,False,Typical
MyGate,Bengaluru,Other,200,0.3,2023-02-20,Series B,India,79,1,False,4.382026634673881,Medium ($50-500M),Severe (25-50%),False,Typical
Mythical Games,Los Angeles,Crypto,0,0.1,2022-11-04,Series C,United States,260,1,False,5.564520407322694,Medium ($50-500M),Mild (<=10%),False,Typical
N26,New York City,Finance,9,0.01,2020-05-08,Series D,United States,782,1,False,6.663132695990803,Large ($500M-2B),Mild (<=10%),False,Typical
Namely,New York City,HR,110,0.4,2020-05-01,Series E,United States,217,1,False,5.384495062789089,Medium ($50-500M),Severe (25-50%),False,Typical
Namogoo,Tel Aviv,Marketing,20,0.15,2023-01-23,Series C,United States,69,2,True,4.248495242049359,Medium ($50-500M),Moderate (10-25%),False,Typical
Namogoo,Tel Aviv,Marketing,25,0.15,2022-11-09,Series C,United States,69,2,True,4.248495242049359,Medium ($50-500M),Moderate (10-25%),False,Typical
NanoString,Seattle,Healthcare,0,0.1,2022-11-08,Post-IPO,United States,731,1,False,6.595780513961311,Large ($500M-2B),Mild (<=10%),False,Typical
Nate,New York City,Retail,30,,2022-08-30,Series A,United States,47,2,True,3.871201010907891,Small (<$50M),,False,Typical
Nate,New York City,Retail,30,0.2,2022-06-30,Series A,United States,47,2,True,3.871201010907891,Small (<$50M),Moderate (10-25%),False,Typical
National Instruments,Austin,Hardware,0,0.04,2023-01-31,Post-IPO,United States,0,1,False,0.0,Small (<$50M),Mild (<=10%),False,Typical
Nativo,Los Angeles,Marketing,0,0.4,2020-03-26,Series B,United States,35,1,False,3.58351893845611,Small (<$50M),Severe (25-50%),False,Typical
Nav,Salt Lake City,Finance,30,,2020-04-07,Series C,United States,99,1,False,4.605170185988092,Medium ($50-500M),,False,Typical
Navi,Bengaluru,Finance,40,0.25,2020-06-17,Private Equity,India,582,1,False,6.368187186350492,Large ($500M-2B),Moderate (10-25%),False,Typical
NCC Group,Manchester,Security,125,0.07,2023-02-02,Post-IPO,United Kingdom,0,1,False,0.0,Small (<$50M),Mild (<=10%),False,Typical
