company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions,number_of_layoff_events,is_repeat_layoff_company,log_funds_raised,funding_bracket,severity_tier,is_statistical_outlier,outlier_direction
Fundbox,SF Bay Area,Finance,14,0.15,2020-06-02,Series C,United States,453,2,True,6.118097198041348,Medium ($50-500M),Moderate (10-25%),False,Typical
Fundbox,SF Bay Area,Finance,150,0.42,2022-10-25,Series D,United States,553,2,True,6.317164686747284,Large ($500M-2B),Severe (25-50%),True,Unusually High for Funding Level
Funding Circle,SF Bay Area,Finance,85,,2020-07-08,Post-IPO,United States,746,1,False,6.616065185132817,Large ($500M-2B),,False,Typical
Funding Societies,Singapore,Finance,65,0.18,2020-04-16,Series B,Singapore,42,1,False,3.7612001156935615,Small (<$50M),Moderate (10-25%),False,Typical
Furlenco,Bengaluru,Retail,180,,2022-03-26,Series D,India,228,1,False,5.43372200355424,Medium ($50-500M),,False,Typical
G/O Media Group,New York City,Media,14,0.05,2020-04-03,Unknown,United States,0,1,False,0.0,Small (<$50M),Mild (<=10%),False,Typical
G2,Chicago,Marketing,17,0.05,2020-06-30,Series C,United States,101,1,False,4.624972813284271,Medium ($50-500M),Mild (<=10%),False,Typical
Gather,SF Bay Area,Consumer,30,0.33,2022-06-02,Series B,United States,76,1,False,4.343805421853684,Medium ($50-500M),Severe (25-50%),False,Typical
Gatherly,Atlanta,Marketing,0,0.5,2022-07-31,,United States,0,1,False,0.0,Small (<$50M),Severe (25-50%),False,Typical
Gavelytics,Los Angeles,Legal,0,1.0,2022-06-30,Seed,United States,5,1,False,1.791759469228055,Small (<$50M),Critical (>50%),False,Typical
Geekwire,Seattle,Media,5,0.31,2020-04-10,Unknown,United States,0,1,False,0.0,Small (<$50M),Severe (25-50%),False,Typical
Gem,SF Bay Area,Recruiting,100,0.33,2022-11-01,Series C,United States,148,1,False,5.003946305945459,Medium ($50-500M),Severe (25-50%),False,Typical
Gemini,New York City,Crypto,0,0.1,2023-01-23,Unknown,United States,423,3,True,6.049733455231958,Medium ($50-500M),Mild (<=10%),False,Typical
Gemini,New York City,Crypto,100,0.1,2022-06-02,Unknown,United States,423,3,True,6.049733455231958,Medium ($50-500M),Mild (<=10%),False,Typical
Gemini,New York City,Crypto,68,0.07,2022-07-18,Unknown,United States,423,3,True,6.049733455231958,Medium ($50-500M),Mild (<=10%),False,Typical
Genesis,New York City,Crypto,52,0.2,2022-08-17,Series A,United States,0,2,True,0.0,Small (<$50M),Moderate (10-25%),False,Typical
Genesis,New York City,Crypto,60,0.3,2023-01-05,Series A,United States,0,2,True,0.0,Small (<$50M),Severe (25-50%),False,Typical
Genome Medical,SF Bay Area,Healthcare,23,,2022-09-08,Series C,United States,120,1,False,4.795790545596741,Medium ($50-500M),,False,Typical
Getaround,SF Bay Area,Transportation,0,0.1,2023-02-02,Post-IPO,United States,948,2,True,6.855408798609928,Large ($500M-2B),Mild (<=10%),False,Typical
Getaround,SF Bay Area,Transportation,100,0.25,2020-03-27,Series D,United States,403,2,True,6.001414877961151,Medium ($50-500M),Moderate (10-25%),False,Typical
Getir,Istanbul,Food,0,0.14,2022-05-25,Series E,Turkey,1800,2,True,7.496097345175956,Large ($500M-2B),Moderate (10-25%),False,Typical
Getir,New York City,Food,100,,2023-02-02,Series E,United States,1800,2,True,7.496097345175956,Large ($500M-2B),,False,Typical
GetNinjas,Sao Paulo,Consumer,11,0.1,2020-04-08,Series B,Brazil,16,1,False,2.833213344056216,Small (<$50M),Mild (<=10%),False,Typical
Getta,Tel Aviv,Transportation,30,,2022-05-31,Series A,Israel,49,1,False,3.912023005428146,Small (<$50M),,False,Typical
GetYourGuide,Berlin,Travel,90,0.17,2020-10-14,Series E,Germany,656,1,False,6.48768401848461,Large ($500M-2B),Moderate (10-25%),False,Typical
GitHub,SF Bay Area,Product,0,0.1,2023-02-09,Acquired,United States,350,1,False,5.860786223465865,Medium ($50-500M),Mild (<=10%),False,Typical
GitLab,SF Bay Area,Product,130,0.07,2023-02-09,Post-IPO,United States,413,1,False,6.025865973825314,Medium ($50-500M),Mild (<=10%),False,Typical
Gitpod,Kiel,Product,21,0.28,2023-01-24,Series A,Germany,41,1,False,3.737669618283368,Small (<$50M),Severe (25-50%),False,Typical
Glassdoor,SF Bay Area,Recruiting,300,0.3,2020-05-07,Acquired,United States,204,1,False,5.3230099791384085,Medium ($50-500M),Severe (25-50%),False,Typical
Glints,Singapore,HR,198,0.18,2022-12-08,Series D,Singapore,82,1,False,4.418840607796598,Medium ($50-500M),Moderate (10-25%),False,Typical
Glitch,New York City,Product,18,0.36,2020-05-21,Series A,United States,30,1,False,3.4339872044851463,Small (<$50M),Severe (25-50%),False,Typical
