company,number_of_layoff_events,first_layoff_date,last_layoff_date,total_laid_off_all_events,average_days_between_layoffs
Clutch,2,2022-06-29,2023-01-17,226,202.0
Code42,2,2020-04-09,2022-11-07,25,942.0
ConsenSys,2,2020-04-20,2023-01-10,191,995.0
Cameo,2,2022-05-04,2022-11-09,167,189.0
Convoy,2,2020-04-23,2022-06-09,90,777.0
Cue,2,2022-06-27,2023-01-05,558,192.0
Cybereason,2,2022-06-01,2022-10-26,300,147.0
Daily Harvest,2,2022-02-10,2022-08-08,60,179.0
Dapper Labs,2,2022-11-02,2023-02-23,134,113.0
Deliveroo,2,2020-04-28,2023-02-09,717,1017.0
Divvy Homes,2,2020-03-25,2022-09-27,40,916.0
DocuSign,2,2022-09-28,2023-02-16,1351,141.0
Domio,2,2020-03-31,2020-11-18,0,232.0
EasyPost,2,2020-03-11,2020-04-13,125,33.0
Ebanx,2,2020-05-27,2022-06-21,402,755.0
Electric,2,2022-08-30,2023-02-13,222,167.0
Equitybee,2,2022-10-31,2023-02-08,49,100.0
Capitolis,2,2022-11-17,2022-11-18,37,1.0
Callisto Media,2,2022-07-21,2022-10-25,140,96.0
Nate,2,2022-06-30,2022-08-30,60,61.0
Beyond Meat,2,2022-08-03,2022-10-14,240,72.0
Affirm,2,2022-11-03,2023-02-08,500,97.0
Airbnb,2,2020-05-05,2023-03-03,1930,1032.0
Airlift,2,2022-05-25,2022-07-12,0,48.0
Airy Rooms,2,2020-04-22,2020-05-07,0,15.0
Alice,2,2022-07-11,2022-12-09,176,151.0
Amount,2,2022-06-27,2023-02-27,130,245.0
Aqua Security,2,2020-04-01,2022-12-05,89,978.0
Arrival,2,2022-07-13,2023-01-30,800,201.0
Astra,2,2020-04-05,2022-11-08,40,947.0
AvantStay,2,2022-06-29,2022-11-09,224,133.0
Balto,2,2022-06-22,2022-12-12,65,173.0
Better.com,2,2021-12-01,2022-03-08,3900,97.0
Betterfly,2,2022-08-11,2023-01-18,30,160.0
Bird,2,2020-03-27,2022-06-07,544,802.0
Byju's,2,2022-10-12,2023-02-02,4000,113.0
BitMEX,2,2022-04-04,2022-11-02,75,212.0
Bitso,2,2022-05-26,2022-11-29,180,187.0
